HIP;RA_J2000;DE_J2000
23099;4.970135;14.396307
24415;5.238605;22.659907
27565;5.837963;5.928930
28586;6.034638;11.656600
28692;6.057894;18.183275
14437;3.106200;5.278520
16811;3.606456;18.361990
27119;5.750878;13.576360
19672;4.214235;22.413458
23883;5.132066;21.704821
16512;3.543533;17.268970
17380;3.721851;8.508244
18165;3.883785;20.208014
21725;4.664495;17.489265
25207;5.392150;16.040494
25507;5.454390;5.019174
22343;4.810955;3.649283
26044;5.555438;8.538491
27869;5.897475;6.546951
18539;3.965741;9.625312
28274;5.974328;7.860552
18852;4.041791;7.246303
21304;4.572886;8.187201
27619;5.847962;7.481637
28307;5.981885;18.820166
14203;3.052658;20.336215
22324;4.808911;10.966393
24000;5.159851;17.907445
25779;5.504276;22.540258
15608;3.349709;20.647039
14829;3.191559;5.588943
18335;3.920073;11.304498
21840;4.695377;22.731578
22311;4.805369;18.565669
22767;4.897720;22.771023
25909;5.529804;5.081424
15936;3.420291;9.691205
17935;3.835523;9.924544
18296;3.912383;23.201588
22146;4.765625;4.360026
25248;5.399155;17.636190
25689;5.485664;11.870195
27200;5.765719;24.224922
27956;5.915002;22.519945
14961;3.214214;4.819390
20832;4.464341;10.291498
22129;4.762411;10.274298
23103;4.970585;4.133927
23967;5.152066;9.155253
24251;5.205939;18.053694
25513;5.456040;14.028979
22386;4.819192;11.851933
24416;5.238683;11.488182
26176;5.580344;9.489579
15588;3.346246;18.737311
21013;4.506234;23.588858
27465;5.816300;19.076792
27649;5.853280;23.872835
28802;6.080819;16.659814
13539;2.905826;7.680220
14039;3.013641;10.244312
21365;4.583991;17.201232
15938;3.420387;4.873626
17155;3.674456;5.125872
21529;4.622828;5.472290
25145;5.380843;3.552219
26994;5.727068;10.019530
27839;5.890679;6.255684
28225;5.963602;14.684114
23962;5.150670;12.948474
27320;5.787499;22.528986
27550;5.834067;22.555427
20562;4.404566;7.320132
26609;5.656635;11.834921
27390;5.800576;12.418404
18521;3.960573;6.873803
21504;4.618664;9.397968
23960;5.149856;10.415823
25142;5.380556;3.544452
26202;5.584634;15.639034
120002;5.990319;17.816217
16066;3.448970;3.464541
23976;5.153276;18.958569
26967;5.722780;21.415967
14993;3.220810;21.644716
27182;5.761217;14.688920
15558;3.340547;14.174646
16295;3.501487;24.190408
19009;4.072687;24.105993
20734;4.443753;9.394247
19745;4.233074;22.708071
22601;4.862605;6.174241
14682;3.161266;17.260874
16338;3.510169;11.867425
23656;5.084116;22.276035
26187;5.582219;22.568598
27332;5.789631;8.548387
14901;3.204493;17.301087
19359;4.147110;10.463659
21748;4.669338;20.548254
27159;5.757178;24.079253
28659;6.051940;20.586274
15423;3.312832;7.393222
25591;5.469347;3.623160
27474;5.818220;9.893318
28526;6.021482;9.072434
13669;2.933949;12.387127
15906;3.414285;14.014879
15996;3.434253;20.245565
17920;3.831911;19.566350
15513;3.332130;21.516447
21782;4.679485;5.339913
23946;5.146283;21.495650
24207;5.197169;5.408846
27829;5.888617;20.299107
26032;5.553818;7.153453
26912;5.713523;21.389143
21809;4.684944;3.513909
24784;5.313133;17.104870
25154;5.383211;18.898628
27543;5.832751;11.718536
14436;3.105876;10.805657
16505;3.540879;20.175484
19651;4.210596;17.834659
21019;4.507393;20.547820
22185;4.772877;19.205248
25671;5.483240;13.148510
25747;5.497558;18.430744
28142;5.947387;16.355075
18717;4.010247;17.296660
23858;5.127633;12.541195
23898;5.135085;14.532851
13759;2.952127;10.803792
18998;4.070273;15.026862
21350;4.581311;18.413403
23544;5.063104;10.855217
23504;5.053761;17.290172
