"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2311",14721,3.16942,18.3456,17.55,163.7,-58.68,8.69,0.682,0,2
"2312",21179,4.54046,13.1132,17.55,102.37,-18.77,11,1.194,0,2
"2313",21703,4.66014,13.1231,17.64,236.38,-141.18,8.93,0.83,0,2
"2317",25677,5.48392,10.2493,17.9,122.04,-79.77,10.98,1.629,0,2
"2319",13977,3.00085,9.17881,17.99,120.6,139.67,10.03,0.84,0,2
"2320",19038,4.07825,22.0819,18.04,91.73,-58.52,4.36,1.064,0,2
"2321",15074,3.23828,9.13091,18.08,273.8,-81.77,11.16,1.16,0,2
"2322",19789,4.24178,22.4519,18.12,95.09,-34.1,7.05,0.424,0,2
"2324",20087,4.30645,21.5793,18.25,96.42,-33.92,5.64,0.277,0,2
"2328",15278,3.28514,24.0352,18.4,107.1,6.09,8.96,0.719,0,2
"2329",20873,4.47317,14.741,18.42,109.72,-21.27,5.9,0.325,0,2
"2331",23498,5.05213,13.7307,18.44,65.95,-18.46,9,0.765,0,2
"2332",25082,5.36978,5.39531,18.46,49.12,-50.64,7.01,0.516,0,2
"2333",23983,5.15546,9.82958,18.54,63.54,-7.87,5.43,0.249,0,2
"2337",22826,4.91213,12.3522,18.58,92.23,-39.95,7.13,0.583,0,2
"2343",20567,4.40619,17.079,18.74,99.08,-27.93,6.96,0.45,0,2
"2344",23750,5.105,17.8164,18.78,64.38,-31.98,8.82,0.73,0,2
"2347",13600,2.92119,17.8917,18.89,117.79,-13.2,8.83,0.704,0,2
"2349",21475,4.61147,11.9124,18.93,165.74,-29.14,9.94,0.852,0,2
"2350",22654,4.8732,18.9969,18.93,78.66,-31.45,10.29,1.07,0,2
"2352",14803,3.1862,9.19637,19.13,238.1,-71.82,11.31,1.25,0,2
"2354",20419,4.3738,11.3057,19.17,115.03,-6.69,9.79,1.183,0,2
"2357",21926,4.71452,18.1449,19.22,61.63,-121.96,10.27,0.818,0,2
"2359",22350,4.8117,21.101,19.3,81.87,-46.43,9.06,0.843,0,2
