HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V
28625,"6,043497","22,234142","1,9","-0,05","-4,09","9,9","0,94"
14438,"3,106262","3,810128","1,91","14,83","4,61","7,77","0,163"
18600,"3,979653","3,527305","1,91","10,82","-4,36","11,19","0,524"
25446,"5,442477","17,757600","1,91","5,58","-13,64","9,72","0,401"
22443,"4,829409","21,949694","1,92","-2,75","-4,16","7,84","0,171"
24676,"5,294170","4,683771","1,92","13,33","-30,16","8,48","0,564"
17864,"3,823144","15,074952","1,93","-0,23","-8,48","9,06","1,082"
19078,"4,090006","23,168625","1,93","2,4","-15,08","8,31","1,192"
28538,"6,024726","13,131569","1,93","-5,65","-10,5","7,78","-0,035"
17084,"3,660460","12,654721","1,94","23,48","-11,2","10,02","0,456"
22212,"4,776742","8,317872","1,94","6,35","-38,06","8,01","1,486"
14603,"3,142487","8,868746","1,96","-32,1","3,38","9,87","0,678"
22461,"4,834337","8,407845","1,97","-3,23","-4,13","6,85","-0,045"
25831,"5,514819","5,692822","1,97","-1,17","0,4","10,18","0,278"
21621,"4,641960","18,733739","1,98","-1,46","-2,73","8,45","0,223"
24888,"5,334835","21,151590","1,99","5,83","-8,91","9,17","0,443"
17537,"3,754875","4,437933",2,"27,95","22,61","8,1","1,255"
23723,"5,099961","5,653163",2,"-1,86","-2,45","8,41","1,614"
26594,"5,653096","4,121467","2,01","0,76","0,07","4,5","-0,098"
13627,"2,925124","22,934178","2,02","15,75","-11,12","8,96","1,763"
24606,"5,277800","10,785340","2,02","-12,15","8,13","10,09","1,237"
17614,"3,773755","17,917693","2,03","13,76","-25,77","9,87","0,657"
17817,"3,812672","6,300718","2,03","0,68","-25,77","10,88","1,325"
23460,"5,042411","23,870957","2,03","25,39","-41,62","8,56","1,288"
23580,"5,069529","9,142149","2,03","-0,24","-2,92","8,93","1,422"
23939,"5,145075","15,103823","2,03","13,33","-9,14","7,98","0,104"
20866,"4,472274","24,117820","2,05","12,22","-16,62","8,48","1,93"
23804,"5,115890","11,830410","2,05","-3,27","-3,46","9,1","0,11"
15711,"3,373135","3,447254","2,06","3,97","-2,24","10,28","0,649"
27759,"5,874880","3,718244","2,06","-6,48","-6,14","8,99","0,271"
28708,"6,063371","18,264789","2,07","1,26","-2,17","7,8","-0,01"
20526,"4,398413","21,719386","2,08","9,42","-5,86","10,42","0,495"
23728,"5,101459","3,788480","2,08","15,11","-7,9","7,43","1,127"
25896,"5,528065","9,225990","2,08","-0,16","-4,08","7,45","0,079"
25687,"5,485546","24,215180","2,09","-2,88","-3,43","9,52","0,797"
28431,"6,004168","15,131072","2,09","-0,52","-3,36","7,44","1,491"
15057,"3,233716","24,265279","2,12","-8,75","-4,86","8,19","1,51"
16662,"3,573702","20,374099","2,12","5,58","-7,64","8,14","1,731"
15975,"3,428292","13,621355","2,13","7,34","5,89","8,65","1,424"
20412,"4,372000","22,662404","2,13","5,32","-36,23","8,79","1,046"
26692,"5,671905","15,350079","2,13","8,61","-30,9","6,98","0,318"
28832,"6,086048","7,128019","2,13","5,08","-5,95","8,1","0,037"
21732,"4,666643","7,271251","2,14","17,23","2,27","8,26","0,961"
23770,"5,108898","10,643718","2,14","1,94","-3,35","8,23","0,059"
19163,"4,109473","21,956519","2,15","8,14","4,71","7,89","1,71"
27360,"5,794402","4,852590","2,15","11,54","-11,9","7,86","1,507"
27972,"5,916243","17,401937","2,15","3,46","-11,47","7,3","1,56"
18393,"3,932395","4,071004","2,16","-11,18","-46,34","9,1","0,64"
22376,"4,817326","15,863200","2,18","7,37","-3,81","8,31","1,052"
23404,"5,029905","11,375287","2,18","-7,47","-11,29","7,17","0,038"
18626,"3,986873","15,814538","2,19","-15,41","-18,21","8,9","1,776"
22732,"4,890196","7,679338","2,19","3,7","-3,3","8,85","0,001"
23003,"4,947869","6,030079","2,19","9,51","-6,95","8,72","0,208"
25287,"5,409652","15,975274","2,19","-8,49","-4,32","8,53","0,122"
25413,"5,435203","22,821765","2,19","-17,95","-24,61","10,27","0,557"
25886,"5,526591","14,928902","2,19","4,36","-6,13","6,69","-0,061"
15433,"3,314712","7,289964","2,2","6,78","-10,17","9,45","0,388"
27683,"5,860699","21,541140","2,2","3,36","-0,33","10,74","0,192"
14310,"3,076535","21,723979","2,21","-13,24","-7,32","8,45","1,427"
24269,"5,208329","17,213264","2,21","10,4","-15,07","8,4","1,56"
27900,"5,903708","10,586403","2,21",0,"-7,41","6,13","1,404"
16934,"3,631936","9,932835","2,22","21,02","-20,45","7,92","1,815"
23846,"5,126638","4,541772","2,22","-0,15","-3,85","7,98","-0,036"
24515,"5,258688","5,759729","2,22","-5,09","-10,18","8,68","0,244"
26647,"5,663295","14,799191","2,22","-1,07","-1,25","8,14","1,692"
25904,"5,528869","8,466548","2,23","0,82","8,6","8,56","1,668"
26215,"5,587011","10,240093","2,23","1,45","-3,76","5,6","0,149"
23153,"4,981396","8,974450","2,24","1,89","-7,31","8,45","0,08"
23406,"5,030206","11,383150","2,24","-1,01","-14,15","10,08","0,742"
25477,"5,448410","3,614673","2,24","0,27","-0,13","7,2","-0,141"
26421,"5,622990","3,539528","2,24","6,14","-7,33","9,55","0,004"
26992,"5,726819","6,888496","2,25","-4,99","-7,4","7,22","-0,06"
27614,"5,846850","14,443362","2,25","5,09","-13,45","6,75","-0,07"
28373,"5,994172","19,913667","2,25","7,1","-3,61","10,02","0,355"
16737,"3,588437","18,903079","2,26","5,9","-41,23","7,57","1,73"
23574,"5,068173","17,124875","2,26","98,52","-51,59","8,78","1,028"
24841,"5,325462","6,375988","2,26","-0,24","-15,27","10,61","1,034"
