HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,BV,hyades
14071,3.0219,4.99627,1.71,21.64,-24.26,10.93,0.579,0
16701,3.58237,19.8101,1.71,24.46,-19.08,8.7,1.744,0
18443,3.94257,11.9982,1.72,-1.07,0.48,10.24,0.673,0
26748,5.68325,16.0444,1.72,0.52,-20.42,8.85,1.196,0
18953,4.062,5.71663,1.73,-4.88,0.64,9.25,0.248,0
19002,4.07187,20.6792,1.74,1.49,-0.02,9.09,0.117,0
23284,5.00932,22.6157,1.74,-4.32,-3.21,9.02,0.349,0
26064,5.55879,18.5402,1.74,0.15,0.01,5.67,-0.022,0
22026,4.73519,20.3118,1.75,-12.11,-27.89,10.86,0.655,0
26734,5.68008,17.196,1.75,0.92,-1.41,8.9,0.163,0
25337,5.41955,20.5837,1.76,-0.5,-3.26,6.75,0.221,0
27098,5.74605,21.9437,1.76,-1.83,-3.86,9.03,0.585,0
20672,4.42826,9.72504,1.77,14.17,-12.68,8.6,0.625,0
26151,5.57524,14.0033,1.77,-1.89,-8.21,8.59,-0.1,0
28123,5.94405,9.50716,1.78,-0.28,-10.43,9.27,0.284,0
28887,6.09932,7.31754,1.8,89.2,-243.88,10.31,0.676,0
23669,5.08794,15.2399,1.81,10.25,-5.79,7.69,0.204,0
25534,5.46027,19.3038,1.81,10.56,-6.98,10.04,0.284,0
25609,5.47112,12.2521,1.81,-4.7,-3.68,9.1,0.094,0
27979,5.91679,21.406,1.83,-0.11,-1.34,8.18,-0.075,0
28510,6.0183,23.339,1.83,1.8,-1.47,8.23,0.617,0
27659,5.85617,8.4885,1.84,8.18,-3.96,8.72,0.198,0
27826,5.88834,9.55889,1.84,-26.18,-13.59,7.24,1.393,0
28501,6.01703,10.4015,1.84,1.51,-0.68,8.57,0.163,0
15052,3.233,17.8887,1.85,-1.41,-3.44,9.3,0.276,0
18385,3.9301,4.85999,1.85,-20.32,-14.64,9.7,0.483,0
27805,5.88403,16.3457,1.85,-9.86,-3.65,8.37,0.043,0
20417,4.37298,20.8214,1.86,-1.99,-1.04,5.91,1.66,0
22827,4.91235,21.0998,1.86,6.71,-19.59,8.91,1,0
26798,5.69138,13.1483,1.86,-0.64,-5.19,9.22,0.194,0
16909,3.62649,6.38032,1.87,-0.24,-5.78,10.05,1.348,0
22568,4.85731,15.8815,1.87,-2.59,-2.7,8.47,0.68,0
28279,5.97528,23.773,1.89,11.35,-10.94,10.18,1.15,0
28625,6.0435,22.2341,1.9,-0.05,-4.09,9.9,0.94,0
14438,3.10626,3.81013,1.91,14.83,4.61,7.77,0.163,0
18600,3.97965,3.5273,1.91,10.82,-4.36,11.19,0.524,0
25446,5.44248,17.7576,1.91,5.58,-13.64,9.72,0.401,0
22443,4.82941,21.9497,1.92,-2.75,-4.16,7.84,0.171,0
24676,5.29417,4.68377,1.92,13.33,-30.16,8.48,0.564,0
17864,3.82314,15.075,1.93,-0.23,-8.48,9.06,1.082,0
19078,4.09001,23.1686,1.93,2.4,-15.08,8.31,1.192,0
28538,6.02473,13.1316,1.93,-5.65,-10.5,7.78,-0.035,0
17084,3.66046,12.6547,1.94,23.48,-11.2,10.02,0.456,0
22212,4.77674,8.31787,1.94,6.35,-38.06,8.01,1.486,0
14603,3.14249,8.86875,1.96,-32.1,3.38,9.87,0.678,0
22461,4.83434,8.40784,1.97,-3.23,-4.13,6.85,-0.045,0
25831,5.51482,5.69282,1.97,-1.17,0.4,10.18,0.278,0
21621,4.64196,18.7337,1.98,-1.46,-2.73,8.45,0.223,0
24888,5.33484,21.1516,1.99,5.83,-8.91,9.17,0.443,0
17537,3.75487,4.43793,2,27.95,22.61,8.1,1.255,0
23723,5.09996,5.65316,2,-1.86,-2.45,8.41,1.614,0
26594,5.6531,4.12147,2.01,0.76,0.07,4.5,-0.098,0
13627,2.92512,22.9342,2.02,15.75,-11.12,8.96,1.763,0
24606,5.2778,10.7853,2.02,-12.15,8.13,10.09,1.237,0
17614,3.77376,17.9177,2.03,13.76,-25.77,9.87,0.657,0
17817,3.81267,6.30072,2.03,0.68,-25.77,10.88,1.325,0
23460,5.04241,23.871,2.03,25.39,-41.62,8.56,1.288,0
23580,5.06953,9.14215,2.03,-0.24,-2.92,8.93,1.422,0
23939,5.14507,15.1038,2.03,13.33,-9.14,7.98,0.104,0
20866,4.47227,24.1178,2.05,12.22,-16.62,8.48,1.93,0
23804,5.11589,11.8304,2.05,-3.27,-3.46,9.1,0.11,0
15711,3.37314,3.44725,2.06,3.97,-2.24,10.28,0.649,0
27759,5.87488,3.71824,2.06,-6.48,-6.14,8.99,0.271,0
28708,6.06337,18.2648,2.07,1.26,-2.17,7.8,-0.01,0
20526,4.39841,21.7194,2.08,9.42,-5.86,10.42,0.495,0
23728,5.10146,3.78848,2.08,15.11,-7.9,7.43,1.127,0
25896,5.52807,9.22599,2.08,-0.16,-4.08,7.45,0.079,0
25687,5.48555,24.2152,2.09,-2.88,-3.43,9.52,0.797,0
28431,6.00417,15.1311,2.09,-0.52,-3.36,7.44,1.491,0
15057,3.23372,24.2653,2.12,-8.75,-4.86,8.19,1.51,0
16662,3.5737,20.3741,2.12,5.58,-7.64,8.14,1.731,0
15975,3.42829,13.6214,2.13,7.34,5.89,8.65,1.424,0
20412,4.372,22.6624,2.13,5.32,-36.23,8.79,1.046,0
26692,5.67191,15.3501,2.13,8.61,-30.9,6.98,0.318,0
28832,6.08605,7.12802,2.13,5.08,-5.95,8.1,0.037,0
21732,4.66664,7.27125,2.14,17.23,2.27,8.26,0.961,0
23770,5.1089,10.6437,2.14,1.94,-3.35,8.23,0.059,0
19163,4.10947,21.9565,2.15,8.14,4.71,7.89,1.71,0
27360,5.7944,4.85259,2.15,11.54,-11.9,7.86,1.507,0
27972,5.91624,17.4019,2.15,3.46,-11.47,7.3,1.56,0
18393,3.93239,4.071,2.16,-11.18,-46.34,9.1,0.64,0
